,Title,Year,Rating
0,The Godfather,1972,9.2
1,The Shawshank Redemption,1994,9.3
2,Schindler's List,1993,8.9
3,Raging Bull,1980,8.2
4,Casablanca,1942,8.5
5,Citizen Kane,1941,8.3
6,Gone with the Wind,1939,8.1
7,The Wizard of Oz,1939,8
8,One Flew Over the Cuckoo's Nest,1975,8.7
9,Lawrence of Arabia,1962,8.3
10,Vertigo,1958,8.3
11,Psycho,1960,8.5
12,The Godfather: Part II,1974,9
13,On the Waterfront,1954,8.1
14,Sunset Blvd.,1950,8.4
15,Forrest Gump,1994,8.8
16,The Sound of Music,1965,8
17,12 Angry Men,1957,9
18,West Side Story,1961,7.5
19,Star Wars,1977,8.6
20,2001: A Space Odyssey,1968,8.3
21,E.T. the Extra-Terrestrial,1982,7.8
22,The Silence of the Lambs,1991,8.6
23,Chinatown,1974,8.1
24,The Bridge on the River Kwai,1957,8.1
25,Singin' in the Rain,1952,8.3
26,It's a Wonderful Life,1946,8.6
27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
28,Some Like It Hot,1959,8.2
29,Ben-Hur,1959,8.1
30,Apocalypse Now,1979,8.4
31,Amadeus,1984,8.3
32,The Lord of the Rings: The Return of the King,2003,8.9
33,Gladiator,2000,8.5
34,Titanic,1997,7.8
35,From Here to Eternity,1953,7.6
36,Saving Private Ryan,1998,8.6
37,Unforgiven,1992,8.2
38,Raiders of the Lost Ark,1981,8.4
39,Rocky,1976,8.1
40,A Streetcar Named Desire,1951,8
41,The Philadelphia Story,1940,7.9
42,To Kill a Mockingbird,1962,8.2
43,An American in Paris,1951,7.2
44,The Best Years of Our Lives,1946,8
45,My Fair Lady,1964,7.8
46,A Clockwork Orange,1971,8.3
47,Doctor Zhivago,1965,8
48,The Searchers,1956,7.9
49,Jaws,1975,8
50,Patton,1970,7.9
51,Butch Cassidy and the Sundance Kid,1969,8
52,The Treasure of the Sierra Madre,1948,8.2
53,"Il buono, il brutto, il cattivo",1966,8.8
54,The Apartment,1960,8.3
55,Platoon,1986,8.1
56,High Noon,1952,7.9
57,Braveheart,1995,8.3
58,Dances with Wolves,1990,8
59,Jurassic Park,1993,8.1
60,The Exorcist,1973,8
61,The Pianist,2002,8.5
62,Goodfellas,1990,8.7
63,The Deer Hunter,1978,8.1
64,All Quiet on the Western Front,1930,8
65,Bonnie and Clyde,1967,7.8
66,The French Connection,1971,7.7
67,City Lights,1931,8.5
68,It Happened One Night,1934,8.1
69,A Place in the Sun,1951,7.8
70,Midnight Cowboy,1969,7.8
71,Mr. Smith Goes to Washington,1939,8.1
72,Rain Man,1988,8
73,Annie Hall,1977,8
74,Fargo,1996,8.1
75,Giant,1956,7.6
76,Shane,1953,7.6
77,The Grapes of Wrath,1940,8
78,The Green Mile,1999,8.6
79,Close Encounters of the Third Kind,1977,7.6
80,Nashville,1975,7.7
81,Network,1976,8.1
82,The Graduate,1967,8
83,American Graffiti,1973,7.4
84,Pulp Fiction,1994,8.9
85,Terms of Endearment,1983,7.4
86,Good Will Hunting,1997,8.3
87,The African Queen,1951,7.7
88,Stagecoach,1939,7.8
89,Mutiny on the Bounty,1935,7.7
90,The Great Dictator,1940,8.4
91,Double Indemnity,1944,8.3
92,The Maltese Falcon,1941,8
93,Wuthering Heights,1939,7.6
94,Taxi Driver,1976,8.2
95,Rear Window,1954,8.4
96,The Third Man,1949,8.1
97,Rebel Without a Cause,1955,7.7
98,North by Northwest,1959,8.3
99,Yankee Doodle Dandy,1942,7.7
